Table-22: Advances Classified by Divisions/Districts and Area(Urban/Total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,(Amount in Crore Tk),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Amount in Crore Tk),
,2018Q1,,2018Q1 Total,2018Q2,,2018Q2 Total,2018Q3,,2018Q3 Total,2018Q4,,2018Q4 Total,2019Q1,,2019Q1 Total,2019Q2,,2019Q2 Total,2019Q3,,2019Q3 Total,2019Q4,,2019Q4 Total,2020Q1,,2020Q1 Total,2020Q2,,2020Q2 Total,2020Q3,,2020Q3 Total,2020Q4,,2020Q4 Total,2021Q1,,2021Q1 Total,2021Q2,,2021Q2 Total,2021Q3,,2021Q3 Total,2021Q4,,2021Q4 Total,2022Q1,,2022Q1 Total,2022Q2,,2022Q2 Total,2022Q3,,2022Q3 Total,2022Q4,,2022Q4 Total,2023Q1,,2023Q1 Total,2023Q2,,2023Q2 Total,2023Q3,,2023Q3 Total,2023Q4,,2023Q4 Total,2024Q1*,,2024Q1* Total
District,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,,Urban,Rural,
BANDARBAN,185.14,96.31,281.45,175.52,96.48,272.00,171.80,101.75,273.55,192.46,108.22,300.68,188.24,109.19,297.44,198.60,115.70,314.30,183.71,117.15,300.86,201.71,128.04,329.75,205.41,132.46,337.87,203.48,136.91,340.39,217.84,140.18,358.02,229.58,152.74,382.32,251.49,161.11,412.60,256.58,171.79,428.37,276.45,171.06,447.51,283.18,183.90,467.08,307.90,197.30,505.20,276.92,257.67,534.60,270.75,248.66,519.41,290.47,278.23,568.70,313.06,288.77,601.82,308.29,279.47,587.77,322.48,306.09,628.57,344.36,298.08,642.44,366.70,305.72,672.41
BRAHMANBARIA,1170.89,1299.16,2470.05,1197.51,1339.51,2537.02,1155.09,1370.83,2525.93,1239.67,1408.33,2647.99,1211.28,1431.52,2642.80,1315.62,1508.12,2823.74,1251.54,1485.41,2736.95,1308.68,1527.70,2836.39,1269.87,1495.27,2765.14,1297.93,1547.89,2845.83,1382.53,1597.29,2979.82,1411.86,1670.39,3082.25,1419.62,1668.89,3088.51,1425.31,1753.25,3178.56,1602.38,1759.43,3361.81,1573.87,1832.09,3405.96,1575.77,1831.49,3407.27,1644.03,2045.44,3689.46,1674.09,1997.01,3671.11,1727.72,2096.61,3824.33,1750.61,2097.49,3848.10,1853.66,2207.29,4060.95,1860.40,2280.51,4140.91,1991.38,2360.10,4351.49,2005.23,2274.54,4279.78
CHANDPUR,1204.93,705.82,1910.75,1207.43,713.69,1921.12,1194.50,668.67,1863.17,1272.52,718.98,1991.50,1250.17,717.28,1967.45,1299.65,755.52,2055.17,1290.33,748.50,2038.82,1368.59,799.00,2167.58,1383.70,805.27,2188.97,1356.17,815.45,2171.62,1364.34,850.20,2214.54,1469.46,919.78,2389.24,1456.30,941.08,2397.37,1477.94,988.02,2465.96,1502.95,1044.31,2547.27,1577.37,1084.17,2661.54,1645.13,1201.33,2846.46,2322.69,605.68,2928.37,2373.92,632.95,3006.86,2506.07,637.70,3143.77,2533.44,656.26,3189.71,2617.73,681.53,3299.26,2675.81,739.55,3415.36,2760.23,705.34,3465.57,2796.37,719.37,3515.74
CHATTOGRAM,120244.76,7827.17,128071.93,126729.97,8605.42,135335.39,128330.33,8890.58,137220.91,133751.73,9693.67,143445.40,134696.24,8941.74,143637.98,139569.02,9510.58,149079.60,145910.29,9446.70,155356.98,150935.65,10861.10,161796.75,152280.20,11393.35,163673.55,156589.73,11447.37,168037.11,159948.77,10672.38,170621.15,162308.37,13789.47,176097.85,159658.52,14625.86,174284.38,165221.35,14860.25,180081.60,169143.25,14904.67,184047.92,175285.32,16282.42,191567.74,176308.82,15623.59,191932.40,185398.01,10004.83,195402.84,193058.28,9405.39,202463.67,198858.18,9947.80,208805.99,200395.43,10095.02,210490.45,206027.68,10341.77,216369.45,212707.99,10654.59,223362.59,219025.77,11473.66,230499.43,224983.99,11764.09,236748.08
COX'S BAZAR,2210.60,609.84,2820.44,2235.64,631.62,2867.25,2221.50,620.44,2841.94,2294.07,649.70,2943.77,2287.73,660.73,2948.46,2404.64,697.69,3102.32,2220.78,527.96,2748.74,2315.54,810.21,3125.75,2339.41,840.13,3179.54,2345.10,852.02,3197.12,2351.36,872.54,3223.90,2543.08,762.00,3305.09,2592.35,954.98,3547.33,2654.65,1004.65,3659.30,2697.17,1023.76,3720.93,2824.84,1283.26,4108.10,3028.30,1195.79,4224.09,2938.10,1490.80,4428.91,2821.95,1109.88,3931.83,3113.21,1129.05,4242.26,3110.36,1152.71,4263.07,3197.79,1193.13,4390.92,3129.60,1222.74,4352.35,3287.11,1364.81,4651.93,3336.54,1474.07,4810.61
CUMILLA,3808.82,2643.77,6452.58,3841.80,2711.06,6552.86,3797.51,2704.13,6501.64,3979.98,2863.90,6843.88,4018.86,2888.61,6907.47,4292.38,2981.01,7273.40,4161.89,3005.23,7167.12,4267.93,3087.43,7355.36,4287.94,3119.22,7407.16,4361.11,3152.40,7513.51,4378.56,3146.64,7525.20,4719.45,3435.11,8154.56,4751.22,3452.85,8204.08,4852.98,3585.01,8438.00,4941.98,3608.06,8550.04,5247.79,3794.36,9042.15,5373.47,3928.65,9302.12,5178.32,4629.32,9807.64,5226.58,4684.62,9911.20,5359.33,4894.43,10253.75,5442.21,5065.32,10507.53,5525.52,5367.23,10892.75,5589.79,5549.18,11138.96,5775.90,5664.33,11440.23,5820.84,5759.06,11579.89
FENI,2327.59,575.90,2903.49,2343.89,586.85,2930.74,2308.90,575.13,2884.03,2397.10,616.20,3013.30,2406.87,623.95,3030.82,2454.60,636.67,3091.28,2397.57,636.38,3033.95,2516.25,657.15,3173.40,2507.66,659.30,3166.96,2500.45,661.80,3162.25,2518.79,644.67,3163.46,2861.87,689.03,3550.90,2855.50,702.57,3558.07,2871.22,721.03,3592.25,2915.71,710.16,3625.87,3039.87,749.61,3789.48,3117.42,753.01,3870.43,3241.89,727.39,3969.28,3218.40,722.47,3940.87,3187.65,651.25,3838.90,3233.30,661.60,3894.90,3377.16,677.93,4055.09,3438.20,705.76,4143.96,3487.48,703.84,4191.32,3542.30,700.65,4242.95
KHAGRACHARI,259.41,112.73,372.14,258.69,107.78,366.47,259.61,114.48,374.09,267.64,124.61,392.25,302.72,130.36,433.08,313.23,144.92,458.14,314.01,145.11,459.12,338.74,152.59,491.33,351.18,159.03,510.21,336.70,165.08,501.78,346.95,171.34,518.29,380.94,181.78,562.72,421.40,189.69,611.09,420.24,202.52,622.76,446.02,201.97,647.99,473.28,213.74,687.03,528.96,225.18,754.14,403.16,368.82,771.98,412.97,384.21,797.18,448.43,412.83,861.26,475.43,429.46,904.89,480.23,444.00,924.23,500.04,464.32,964.36,527.18,460.54,987.72,533.84,467.60,1001.43
LAKSHMIPUR,1044.07,747.13,1791.20,1064.37,746.90,1811.27,1042.50,740.63,1783.14,1074.66,736.30,1810.95,1081.59,733.54,1815.14,1129.63,778.51,1908.14,1110.42,772.14,1882.56,1186.50,790.06,1976.56,1191.04,793.83,1984.87,1188.39,809.19,1997.58,1251.69,838.34,2090.03,1253.46,882.61,2136.07,1248.99,877.44,2126.43,1276.44,903.75,2180.19,1358.90,931.79,2290.70,1349.14,943.05,2292.19,1375.97,952.82,2328.79,1432.35,1008.38,2440.74,1445.87,996.63,2442.50,1488.42,1056.60,2545.02,1508.16,1082.01,2590.17,1553.81,1101.54,2655.35,1566.46,1167.72,2734.18,1565.62,1127.72,2693.34,1623.50,1157.73,2781.24
NOAKHALI,2878.63,1288.57,4167.20,2864.32,1326.43,4190.75,2863.61,1319.53,4183.14,2930.15,1385.41,4315.56,2916.70,1405.04,4321.74,2993.99,1429.57,4423.56,2959.74,1415.36,4375.10,3061.55,1462.79,4524.34,3115.25,1478.60,4593.86,3112.97,1478.63,4591.60,3132.97,1479.82,4612.79,3306.18,1646.99,4953.17,3287.90,1659.84,4947.74,3364.75,1700.55,5065.30,3420.18,1713.95,5134.14,3576.17,1772.87,5349.04,3712.08,1809.91,5521.98,4064.25,1593.66,5657.90,4027.44,1586.42,5613.86,4237.83,1556.21,5794.03,4318.77,1593.25,5912.02,4449.10,1632.80,6081.90,4487.71,1709.61,6197.32,4554.28,1694.80,6249.08,4681.05,1745.31,6426.35
